user_id,product_id,action,timestamp
1,73,click,2026-01-02T08:01:00Z
1,73,click,2026-01-02T08:39:00Z
1,73,view,2026-01-02T08:56:00Z
1,80,view,2026-01-02T09:41:00Z
1,66,view,2026-01-02T09:45:00Z
1,72,view,2026-01-02T12:35:00Z
1,72,click,2026-01-02T12:45:00Z
1,72,view,2026-01-02T12:51:00Z
1,72,click,2026-01-02T13:34:00Z
1,77,view,2026-01-02T13:56:00Z
1,64,click,2026-01-02T14:40:00Z
1,79,click,2026-01-02T16:16:00Z
1,79,view,2026-01-02T16:30:00Z
1,79,view,2026-01-02T17:09:00Z
1,79,click,2026-01-02T17:16:00Z
1,79,add_to_cart,2026-01-02T17:37:00Z
1,74,view,2026-01-02T23:27:00Z
1,75,view,2026-01-02T23:56:00Z
1,75,click,2026-01-03T00:35:00Z
1,73,view,2026-01-03T01:06:00Z
1,73,click,2026-01-03T01:15:00Z
1,73,view,2026-01-03T01:46:00Z
2,222,view,2026-01-03T08:02:00Z
2,222,click,2026-01-03T08:40:00Z
2,229,click,2026-01-03T08:44:00Z
2,229,click,2026-01-03T09:20:00Z
2,223,view,2026-01-03T11:38:00Z
2,221,view,2026-01-03T12:15:00Z
2,224,view,2026-01-03T12:42:00Z
2,212,add_to_cart,2026-01-03T13:22:00Z
2,219,view,2026-01-03T14:00:00Z
2,229,click,2026-01-03T14:37:00Z
2,227,add_to_cart,2026-01-03T17:19:00Z
2,227,click,2026-01-03T18:04:00Z
2,227,click,2026-01-03T18:36:00Z
2,227,click,2026-01-03T19:17:00Z
2,227,click,2026-01-03T20:01:00Z
2,227,view,2026-01-03T20:26:00Z
2,230,view,2026-01-03T23:15:00Z
2,222,view,2026-01-03T23:34:00Z
2,222,view,2026-01-04T00:05:00Z
2,221,view,2026-01-04T00:12:00Z
2,224,view,2026-01-04T00:37:00Z
3,268,click,2026-01-04T08:03:00Z
3,268,view,2026-01-04T08:42:00Z
3,263,view,2026-01-04T08:46:00Z
3,263,click,2026-01-04T09:20:00Z
3,267,view,2026-01-04T13:34:00Z
3,267,view,2026-01-04T14:07:00Z
3,267,click,2026-01-04T14:46:00Z
3,266,view,2026-01-04T15:03:00Z
3,269,click,2026-01-04T21:02:00Z
3,269,click,2026-01-04T21:39:00Z
3,264,view,2026-01-04T21:48:00Z
3,264,view,2026-01-04T22:28:00Z
3,264,click,2026-01-04T22:58:00Z
3,264,click,2026-01-04T23:18:00Z
3,264,click,2026-01-04T23:47:00Z
3,268,view,2026-01-05T01:24:00Z
3,269,view,2026-01-05T02:04:00Z
3,265,view,2026-01-05T02:30:00Z
3,265,view,2026-01-05T03:08:00Z
4,282,click,2026-01-05T08:04:00Z
4,282,click,2026-01-05T08:16:00Z
4,282,click,2026-01-05T08:55:00Z
4,282,click,2026-01-05T09:20:00Z
4,282,click,2026-01-05T09:55:00Z
4,282,click,2026-01-05T10:02:00Z
4,283,view,2026-01-05T11:03:00Z
4,283,view,2026-01-05T11:23:00Z
4,283,view,2026-01-05T12:02:00Z
4,283,click,2026-01-05T12:15:00Z
4,283,click,2026-01-05T12:56:00Z
4,286,view,2026-01-05T13:23:00Z
4,286,click,2026-01-05T16:30:00Z
4,283,add_to_cart,2026-01-05T17:00:00Z
4,296,click,2026-01-05T17:15:00Z
4,285,view,2026-01-05T17:45:00Z
4,281,click,2026-01-05T19:40:00Z
4,281,click,2026-01-05T19:58:00Z
4,281,click,2026-01-05T20:24:00Z
4,281,click,2026-01-05T20:42:00Z
4,286,view,2026-01-05T21:03:00Z
4,281,view,2026-01-05T21:32:00Z
4,281,add_to_cart,2026-01-05T21:52:00Z
5,87,view,2026-01-06T08:05:00Z
5,87,click,2026-01-06T08:41:00Z
5,87,click,2026-01-06T08:57:00Z
5,87,click,2026-01-06T09:35:00Z
5,87,view,2026-01-06T09:51:00Z
5,87,click,2026-01-06T10:16:00Z
5,87,view,2026-01-06T13:49:00Z
5,87,view,2026-01-06T14:11:00Z
5,87,click,2026-01-06T14:39:00Z
5,87,view,2026-01-06T15:22:00Z
5,87,view,2026-01-06T15:45:00Z
5,87,view,2026-01-06T16:30:00Z
5,83,view,2026-01-06T21:51:00Z
5,83,click,2026-01-06T22:13:00Z
5,83,click,2026-01-06T22:32:00Z
5,83,add_to_cart,2026-01-06T22:37:00Z
5,80,view,2026-01-06T23:20:00Z
5,80,view,2026-01-06T23:48:00Z
5,87,view,2026-01-06T23:52:00Z
5,81,view,2026-01-07T05:17:00Z
5,81,click,2026-01-07T05:28:00Z
5,90,click,2026-01-07T06:05:00Z
5,90,click,2026-01-07T06:41:00Z
5,88,view,2026-01-07T07:13:00Z
5,84,view,2026-01-07T07:32:00Z
5,84,click,2026-01-07T07:40:00Z
6,143,click,2026-01-07T08:06:00Z
6,143,click,2026-01-07T08:14:00Z
6,143,view,2026-01-07T08:21:00Z
6,157,view,2026-01-07T09:02:00Z
6,157,view,2026-01-07T09:28:00Z
6,157,add_to_cart,2026-01-07T09:58:00Z
6,147,click,2026-01-07T10:40:00Z
6,147,click,2026-01-07T14:59:00Z
6,147,click,2026-01-07T15:32:00Z
6,147,view,2026-01-07T15:37:00Z
6,147,click,2026-01-07T15:52:00Z
6,147,add_to_cart,2026-01-07T16:16:00Z
6,142,click,2026-01-07T16:37:00Z
6,146,view,2026-01-07T22:13:00Z
6,144,view,2026-01-07T22:21:00Z
6,144,click,2026-01-07T22:26:00Z
6,144,view,2026-01-07T22:37:00Z
7,243,add_to_cart,2026-01-08T08:07:00Z
7,247,add_to_cart,2026-01-08T08:17:00Z
7,247,add_to_cart,2026-01-08T08:33:00Z
7,247,add_to_cart,2026-01-08T09:17:00Z
7,250,add_to_cart,2026-01-08T12:51:00Z
7,249,click,2026-01-08T13:17:00Z
7,247,add_to_cart,2026-01-08T13:21:00Z
7,247,view,2026-01-08T14:05:00Z
7,248,view,2026-01-08T17:23:00Z
7,248,add_to_cart,2026-01-08T18:04:00Z
7,248,click,2026-01-08T18:13:00Z
7,241,click,2026-01-08T18:46:00Z
7,241,view,2026-01-08T19:10:00Z
7,241,click,2026-01-08T19:35:00Z
7,242,view,2026-01-08T19:56:00Z
7,249,add_to_cart,2026-01-09T00:24:00Z
7,242,view,2026-01-09T00:58:00Z
7,256,click,2026-01-09T01:27:00Z
7,256,add_to_cart,2026-01-09T02:04:00Z
7,256,click,2026-01-09T02:43:00Z
7,256,view,2026-01-09T03:04:00Z
7,256,click,2026-01-09T03:28:00Z
8,15,click,2026-01-09T08:08:00Z
8,15,click,2026-01-09T08:45:00Z
8,11,click,2026-01-09T08:49:00Z
